id_fakta,id_waktu,id_pelanggan,id_produk,id_lokasi,id_channel,id_status,nomor_transaksi,jumlah_pembelian,total_harga,jumlah_data_mb,durasi_telpon_menit,jumlah_sms
52,962,770,8,23,3,1,TRX009620000052,2,30000,62830.17,,
53,183,583,27,75,6,1,TRX001830000053,1,5000,,,48
54,272,528,48,93,4,1,TRX002720000054,1,250000,17314.2,175,306
55,404,298,48,48,1,2,TRX004040000055,112,250000,41095.02,226,330
56,114,324,21,62,4,2,TRX001140000056,2,50000,,1888,
57,1030,948,45,10,1,1,TRX010300000057,1,1000,60382.46,,
58,765,462,42,46,3,1,TRX007650000058,3,225000,10622.6,548,423
59,559,273,7,8,1,1,TRX005590000059,1,50000,79935.92,,
60,219,872,34,10,5,3,TRX002190000060,3,600000,31497.35,656,491
61,159,104,6,42,4,1,TRX001590000061,3,90000,38152.62,,
62,384,310,22,42,2,1,TRX003840000062,5,135456.86,,515,
63,583,5,32,11,4,1,TRX005830000063,1,95000,20022.88,940,319
64,1077,874,5,7,4,4,TRX010770000064,5,,40368.84,,
65,597,649,7,63,3,1,TRX005970000065,1,50000,92766.09,,
66,448,691,13,56,3,1,TRX004480000066,2,1558486.92,100415.62,,
67,203,683,24,94,4,3,TRX002030000067,1,70000,,1358,
68,211,667,19,21,6,4,TRX002110000068,3,15000,,472,
69,389,595,8,37,1,1,TRX003890000069,1,5563.68,17047.4,,
70,630,447,40,65,5,3,TRX006300000070,1,10000,15581.29,555,95
71,560,711,41,74,1,1,TRX005600000071,1,15000,6274.16,913,97
72,375,557,17,92,1,1,TRX003750000072,1,60000,75376.87,,
73,286,321,16,97,2,1,TRX002860000073,1,30000,82006.26,,
74,1011,656,46,55,3,2,TRX010110000074,1,2500,71915.11,,
75,107,21,16,28,1,1,TRX001070000075,3,182061.95,82419.39,,
76,567,188,28,45,2,1,TRX005670000076,1,10000,,,554
77,480,595,36,41,1,1,TRX004800000077,1,150000,28457.91,523??,464
78,562,185,42,30,3,2,TRX005620000078,2,150000,26923.71,592,420
79,709,8,31,84,1,2,TRX007090000079,1,109211.93,47085.5,579,295
80,487,560,1,42,6,1,TRX004870000080,1,2000,26718.08,,
81,387,725,3,96,3,4,TRX003870000081,1,7000,59794.01,,
82,1020,317,22,14,2,1,TRX010200000082,1,50000,,,
83,292,145,16,34,1,1,TRX002920000083,3,90000,51693.22,,
84,444,649,35,15,1,3,TRX004440000084,1,350000,40679.8,637,291
85,145,925,11,57,3,4,TRX001450000085,1,150000,51256.68,,
86,34,548,33,52,1,1,TRX000340000086,1,135000,39382.0,595,344
87,190,694,3,6,1,1,TRX001900000087,1,7000,,,
88,964,546,29,83,2,1,TRX009640000088,2,50000,,,631
89,638,681,32,33,2,1,TRX006380000089,1,95000,2711.24,,10
90,933,585,20,18,1,2,TRX009330000090,2,30000,,2814,
91,175,501,25,100,1,3,TRX001750000091,2,2000,,,786
92,897,940,24,9,2,3,TRX008970000092,1,70000,,537,
93,330,43,18,65,4,1,TRX003300000093,1,3000,,2414,
94,935,849,47,29,2,1,TRX009350000094,1,15000,3631.92,,
95,220,357,32,41,5,1,TRX002200000095,1,95000,5887.11,652,338
96,648,258,2,53,2,3,TRX006480000096,1,3500,46981.75,,
97,572,191,4,88,3,1,TRX005720000097,1,9000,34805.02,,
98,847,467,30,90,5,3,TRX008470000098,1,35000,47506.3,732 (error),69??
99,636,507,49,9,1,1,TRX006360000099,1,120000,22996.85,550,456
100,560,153,28,17,2,1,TRX005600000100,2,20000,,,70
101,955,798,1,30,2,1,TRX009550000101,1,2000,71114.08,,
102,1086,580,40,62,2,4,TRX010860000102,2,20000,38769.41,58,491
103,330,291,30,3,2,3,TRX003300000103,1,35000,34984.26,523,500
104,950,377,39,11,4,1,TRX009500000104,1,20000,46310.05,202,79
105,646,94,42,86,1,1,TRX006460000105,"1,-",75000,13581.11,116,471
106,264,181,5,87,2,1,TRX002640000106,1,20000,80410.1,,
107,648,794,28,16,1,1,TRX006480000107,1,10000,,,694
108,564,872,22,41,2,2,TRX005640000108,2,100000,,1307,
109,637,991,3,24,2,1,TRX006370000109,1,7000,60948.08,,
110,352,521,34,4,3,1,TRX003520000110,3,600000,2821.91,681,299
111,575,721,45,61,4,2,TRX005750000111,1,1000,93204.31,,
112,18,396,37,69,5,1,TRX000180000112,1,300000,6893.92,468,186
113,778,22,38,13,1,1,TRX007780000113,1,50000,1746.62,369,500
114,290,863,41,96,2,2,TRX002900000114,1,15000,20642.18,684,406
115,609,253,44,82,6,3,TRX006090000115,4,700000,14067.88,570,79
116,628,620,45,96,3,4,TRX006280000116,1,1000,52176.75,,
117,295,450,47,14,5,1,TRX002950000117,1,15000,70078.59,,
118,210,473,27,35,1,5,TRX002100000118,1,5000,,,755
119,252,988,2,45,1,1,TRX002520000119,2,7000,54705.92,,
120,1078,736,9,57,3,2,TRX010780000120,1,50000,21529.26,,
121,273,733,29,67,2,4,TRX002730000121,,25000,,,201
122,528,199,41,81,2,3,TRX005280000122,1,15000,34294.69,157755,175
123,135,570,30,29,1,5,TRX001350000123,2,70000,3134.58,861,230
124,1060,349,4,99,1,5,TRX010600000124,1,9000,6640658.7,,
125,967,155,12,4,5,5,TRX009670000125,1,300000,16469.91,,
126,663,584,27,99,1,1,TRX006630000126,1,5000,,,345
127,913,809,40,4,2,1,TRX009130000127,1,10000,28430.87,813,1
128,97,455,33,81,5,1,TRX000970000128,1,135000,36027.45,348,173
129,509,401,27,80,2,5,TRX005090000129,1,5000,,,523
130,463,667,36,35,3,1,TRX004630000130,1,150000,46469.03,498,133
131,774,460,17,5,4,3,TRX007740000131,3,180000,89869.1,,
132,915,278,40,10,1,1,TRX009150000132,1,10000,22650.2,439,46
133,571,589,14,15,3,1,TRX005710000133,1,5000,53650.36,,
134,600,41,31,81,6,1,TRX006000000134,1,65000,26310.21,403,91
135,326,481,14,44,4,1,TRX003260000135,191,5000,49802.08,,
136,715,807,38,15,3,1,TRX007150000136,1,50000,17767.17,,276
137,421,32,13,35,1,1,TRX004210000137,2,1000000,67170.79,,
138,909,887,47,57,1,2,TRX009090000138,2,30000,3048.4,,
139,569,751,38,11,4,1,TRX005690000139,3,150000,20154.58,676,422
140,617,853,1,95,3,1,TRX006170000140,5,10000,45049.97,,
141,741,904,15,81,1,1,TRX007410000141,1,25000,51773.2,,
142,449,591,38,68,1,1,TRX004490000142,1,50000,1236.76,125,496
143,146,373,43,35,1,2,TRX001460000143,1,120000,870.18,561,118
144,922,770,26,48,4,1,TRX009220000144,137,1500,,,502
145,675,902,21,24,1,2,TRX006750000145,1,25000,,2562,
146,565,146,11,1,3,1,TRX005650000146,1,150000,71053.31,,
147,565,36,4,49,4,1,TRX005650000147,1,9000,44506.45,,
148,389,581,16,31,1,1,TRX003890000148,1,30000,89037.94,,
149,274,714,19,46,1,4,TRX002740000149,1,5000,,1142,
150,928,981,37,70,2,5,TRX009280000150,1,300000,5022.84,357,489
151,896,681,17,9,4,5,TRX008960000151,1,60000,96750.39,,
152,886,133,17,55,6,1,TRX008860000152,1,60000,97201.46,,
153,240,497,38,59,2,1,TRX002400000153,1,50000,31239.21,92,2
154,261,857,1,25,5,5,TRX002610000154,1,2000,13615.42,,
155,784,176,20,93,2,1,TRX007840000155,1,15000,,394,
156,1069,160,19,25,1,1,TRX010690000156,1,5000,,2215,
157,1080,859,19,9,2,1,TRX010800000157,1,5000,,2177,
158,435,756,16,24,5,1,TRX004350000158,3,90000,90374.25,,
159,25,480,31,13,5,1,TRX000250000159,1,65000,35459.33,132,250
160,462,346,21,40,5,1,TRX004620000160,1,25000,,746,
161,262,622,18,23,4,1,TRX002620000161,2,6000,,1426,
162,895,162,31,80,5,4,TRX008950000162,1,65000,9683.26,457,110
163,225,152,29,45,6,1,TRX002250000163,1,25000,,,332
164,383,182,3,91,3,5,TRX003830000164,2,14000,,,
165,595,258,14,21,6,1,TRX005950000165-ERR,1,5000,16438.13,,
166,816,736,33,31,3,1,TRX008160000166,1,135000,32303.51,942??,279
167,123,682,28,28,1,1,TRX001230000167,1,10000,,,670
168,633,988,30,84,1,1,TRX006330000168,1,35000,32836.87,728,193
169,842,753,13,43,1,2,TRX008420000169,1,500000,99635.52,,
170,792,368,46,73,3,4,TRX007920000170,1,2500,1796.51,,
171,374,584,26,95,2,3,TRX003740000171,1,1500,,,18
172,755,860,47,26,4,5,TRX007550000172,1,15000,42613.42,,
173,159,226,32,20,1,4,TRX001590000173,1,95000,31935.2,653,159
174,626,582,26,18,5,1,TRX006260000174,1,1500,,,703
175,603,770,32,52,4,5,TRX006030000175,1,95000,9706531.98,318,220
176,837,518,11,88,3,1,TRX008370000176,1,150000,18930.04,,
177,432,827,50,19,3,2,TRX004320000177,2,400000,12932.97,735,211
178,494,260,41,33,3,1,TRX004940000178,1,15000,5587.39,613,197
179,1069,979,31,79,1,1,TRX010690000179,5,325000,50438.66,772,478
180,614,280,4,72,5,1,TRX006140000180,1,9000,10853.31,,
181,277,661,14,64,4,4,TRX002770000181,4,20000,99316.01,,
182,441,99,33,98,3,1,TRX004410000182,1,135000,12700.45,155,475
183,344,497,3,24,2,1,TRX003440000183,1,7000,,,
184,201,680,50,59,4,5,TRX002010000184,1,200000,,,53
185,436,841,49,23,2,1,TRX004360000185,1,120000,11598.4,931,58
186,927,12,9,62,1,3,TRX009270000186,4,200000,86481.64,,
187,414,290,41,92,6,5,TRX004140000187,1,15000,9013.96,,191
188,383,729,29,50,1,1,TRX003830000188,1,25000,,,915
189,441,172,25,64,1,1,TRX004410000189,2,2000,,,466
190,278,976,39,1,1,1,TRX002780000190,1,20000,20633.97,173,119
191,48,290,44,2,3,1,TRX000480000191,1,175000,40013.48,,165
192,1017,517,17,56,4,4,TRX010170000192,1,60000,57480.9,,
193,1045,238,21,42,1,1,TRX010450000193,1,25000,,694,
194,484,134,1,47,1,1,TRX004840000194,2,4000,,,
195,81,373,2,23,2,1,TRX000810000195,1,3500,69226.09,,
196,805,279,35,46,4,4,TRX008050000196,1,350000,21067.96,673,457
197,505,556,43,67,1,4,TRX005050000197,1,120000,51037.51,280,171
198,60,99,31,5,6,1,TRX000600000198,2,,16044.0,921,485
199,926,517,11,57,4,5,TRX009260000199,1,150000,74740.29,,
200,972,803,16,47,5,2,TRX009720000200,1,30000,17975.32,,
201,335,717,17,4,6,1,TRX003350000201,1,60000,43680.72,,
202,509,600,36,30,3,1,TRX005090000202,2,300000,36506.19,566,213
203,7,962,25,81,1,1,TRX000070000203,3,3000,,,209
204,524,904,45,44,1,1,TRX005240000204,1,1000,89026.42,,
205,241,758,42,40,2,1,TRX002410000205,3,225000,4772.46,347,294
206,615,388,16,65,1,1,TRX006150000206,1,30000,13045.89,,
207,1027,453,12,33,4,1,TRX010270000207,1,300000,10728984.0,,
208,648,829,8,34,3,5,TRX006480000208,1,15000,87792.54,,
209,352,267,21,95,2,1,TRX003520000209,1,25000,,584,
210,787,963,11,40,2,1,TRX007870000210,5,750000,94342.31,,
211,847,249,48,58,2,4,TRX008470000211,69,250000,41010.68,531,306
212,338,327,1,18,2,1,TRX003380000212,1,1540.83,5881.83,,
213,1048,986,15,82,1,1,TRX010480000213,3,75000,40361.49,,
214,780,633,39,82,4,3,TRX007800000214,3,60000,47724.59,292,429
215,725,593,24,22,5,1,TRX007250000215,2,140000,,2466,
216,1032,175,38,30,1,1,TRX010320000216,1,50000,24296.27,656,425
217,212,325,1,99,2,1,TRX002120000217,1,2000,35255.82,,
218,785,436,46,2,6,1,TRX007850000218,1,2500,48195.89,,
219,596,133,25,22,1,1,TRX005960000219,1,1000,,,946
220,480,330,26,48,2,1,TRX004800000220,1,1500,,,260
221,743,793,50,42,4,1,TRX007430000221,1,200000,28903.91,744,471
222,106,85,43,63,3,1,TRX001060000222,3,360000,30366.65,179,288
223,109,146,4,29,5,1,TRX001090000223,1,9000,6508.11,,
224,656,482,21,29,5,1,TRX006560000224,1,25000,,2777,
225,268,741,28,96,1,1,TRX002680000225,1,10000,,,
226,1021,539,32,25,4,1,TRX010210000226,1,95000,46229.23,914,337
227,503,208,48,87,2,1,TRX005030000227,1,250000,14774.15,308,334
228,99,749,11,88,1,1,TRX000990000228,1,150000,49980.96,,
229,935,387,20,46,3,1,TRX009350000229,1,15000,,862,
230,228,111,4,18,3,4,TRX002280000230,1,9000,21442.19,,
231,169,211,24,87,1,1,TRX001690000231,5,350000,,1387,
232,30,395,29,37,1,1,TRX000300000232,1,25000,,,854
233,586,576,16,95,2,5,TRX005860000233,1,30000,85616.9,,
234,346,354,11,86,1,1,TRX003460000234,1,150000,98098.73,,
235,174,606,43,92,6,1,TRX001740000235,2,240000,4696.3,341,34
236,296,244,38,1,1,1,TRX002960000236,1,50000,15878.52,897,377
237,710,783,3,16,2,1,TRX007100000237,1,7000,95605.96,,
238,1032,715,2,8,2,5,TRX010320000238,1,3500,72963.07,,
239,454,680,20,2,4,4,TRX004540000239,1,15000,,369,
240,1030,729,43,26,1,3,TRX010300000240,2,240000,46086.24,92,348
241,852,694,27,11,3,1,TRX008520000241,1,5000,,,318??
242,759,322,8,90,3,1,TRX007590000242,3,45000,21607.93,,
243,809,622,26,9,6,1,TRX008090000243,1,1500,,,736
244,996,567,20,68,4,4,TRX009960000244,2,30000,,2494,
245,105,267,46,27,3,4,TRX001050000245,3,7500,18895.75,,
246,577,416,38,92,1,1,TRX005770000246,1??,50000,5982.21,51392,441
247,25,424,13,45,3,2,TRX000250000247,1,500000,6359340.96,,
248,18,859,46,5,2,1,TRX000180000248,1,5649.17,31948.32,,
249,470,806,22,53,1,1,TRX004700000249,159,50000,,,
250,675,518,43,53,1,5,TRX006750000250,1,120000,47067.84,895,52
251,789,403,15,51,6,1,TRX007890000251,1,25000,66743.68,,
252,1007,626,4,92,1,5,TRX010070000252,1,9000,101704.55,,
253,319,728,17,95,3,1,TRX003190000253,2,120000,70678.48,,
254,112,379,26,65,4,3,TRX001120000254,1,1500,,,138
255,148,513,23,21,6,3,TRX001480000255,1,90000,,703,
256,183,252,26,93,1,1,TRX001830000256,3,4500,,,869
257,672,673,18,91,6,5,TRX006720000257,2,6000,,546,
258,656,470,31,53,3,1,TRX006560000258,2,130000,28001.73,351,8
259,909,528,13,19,2,4,TRX009090000259,1,500000,80423.14,,
260,584,90,10,82,4,1,TRX005840000260,1,85000,79475.32,,
261,287,30,15,82,2,3,TRX002870000261,4,100000,,,
262,908,168,2,26,4,1,TRX009080000262,1,3500,3566948.67,,
263,668,503,19,25,6,1,TRX006680000263,1,5000,,1077,
264,700,278,28,71,5,2,TRX007000000264,2,20000,,,686
265,194,140,38,23,3,1,TRX001940000265,1,50000,25619.68,49,288
266,27,42,2,10,6,5,TRX000270000266,1,3500,4070.15,,
267,1017,290,16,52,6,1,TRX010170000267,2,60000,3816.51,,
268,449,147,7,26,1,1,TRX004490000268,1,50000,55690.88,,
269,86,202,49,46,6,1,TRX000860000269,3,319853.7,34058.92,845,289
270,858,480,25,56,1,5,TRX008580000270,1,1000,,,755
271,35,664,14,73,6,2,TRX000350000271,1,5000,29730.43,,
272,419,649,40,88,4,1,TRX004190000272,1,10000,12796.53,4,178
273,699,449,29,52,4,2,TRX006990000273,1,25000,,,731
274,320,544,29,41,4,1,TRX003200000274,1,25000,,,780
275,227,609,42,22,2,4,TRX002270000275,1,75000,19672.32,901,96
276,730,784,12,46,4,1,TRX007300000276,5,1500000,83130.45,,
277,100,725,8,67,3,1,TRX001000000277,2,30000,11945.58,,
278,588,754,27,64,1,5,TRX005880000278,1,5000,,,778
279,458,266,28,42,1,1,TRX004580000279,2,20000,,,985
280,424,797,35,74,1,1,TRX004240000280,1,350000,18737.66,328,173
281,16,844,41,26,1,1,TRX000160000281,5,75000,46536.55,386,268
282,986,428,47,24,2,5,TRX009860000282,1,15000,57213.61,,
283,388,941,8,79,1,1,TRX003880000283,2,30000,1456512.0,,
284,380,357,16,88,6,1,TRX003800000284,3,90000,51639.41,,
285,490,88,17,99,1,1,TRX004900000285,3,180000,23401.95,,
286,19,316,29,75,5,1,TRX000190000286,1,25000,,,858
287,123,538,27,23,5,1,TRX001230000287,3,15000,,,309
288,359,216,2,74,1,1,TRX003590000288,1,3500,61439.49,,
289,500,17,36,38,3,1,TRX005000000289,1,150000,20489.74,526,120
290,166,647,6,56,2,1,TRX001660000290,3,90000,87977.51,,
291,769,442,12,97,1,3,TRX007690000291,1,300000,31692.48,,
292,334,917,37,46,1,1,TRX003340000292,1,300000,27227.04,391,396
293,906,269,40,85,3,1,TRX009060000293,1,10000,5882.51,388,68
294,453,869,10,10,3,1,TRX004530000294,1,85000,70131.54,,
295,944,79,5,83,1,5,TRX009440000295,1,20000,,,
296,872,445,29,13,2,3,TRX008720000296,1,25000,,,682
297,136,175,37,71,1,1,TRX001360000297,2,600000,8450.46,184,343
298,804,561,1,16,1,1,TRX008040000298,1,2000,98819.71,,
299,130,238,39,38,2,1,TRX001300000299,1,20000,38548.35,759,249
300,476,494,42,51,3,1,TRX004760000300,1,75000,13995.88,575,377
301,263,605,42,6,5,1,TRX002630000301,2,150000,3412.68,959,437
302,107,495,17,37,2,2,TRX001070000302,,60000,11436.59,,
303,808,541,44,65,2,3,TRX008080000303-ERR,1,175000,25185.06,300,306
304,213,152,1,72,1,3,TRX002130000304,1,2000,61055.08,,
305,10,314,14,75,2,1,TRX000100000305,1,5969.06,79389.11,,
306,106,223,43,95,1,1,TRX001060000306,1,120000,4034.69,267,283
307,24,215,40,98,3,1,TRX000240000307,1,10000,35901.69,42,275
308,1002,856,47,39,4,1,TRX010020000308,1,15000,68976.89,,
309,940,547,5,78,2,1,TRX009400000309,2,40000,88154.8,,
310,514,22,22,61,2,1,TRX005140000310,"1,-",50000,,2387,
311,880,640,41,36,2,1,TRX008800000311,1,15000,8700.5,701,406
312,371,238,27,32,2,1,TRX003710000312,1,5000,,,889
313,672,829,31,89,1,3,TRX006720000313,2,130000,7789.31,860,434
314,829,27,41,68,2,1,TRX008290000314,2,30000,51169.01,896,238
315,1012,23,32,16,3,4,TRX010120000315,2,190000,36499.79,277,
316,252,53,47,55,2,1,TRX002520000316,1,15000,50056.81,,
317,626,158,30,27,2,1,TRX006260000317,5,175000,29694.26,152,191
318,913,751,24,66,4,3,TRX009130000318,2,140000,,2987,
319,293,364,42,92,6,1,TRX002930000319,2,150000,25631.21,331,
320,773,977,4,6,2,1,TRX007730000320,,9000,70007.5,,
321,918,590,46,95,4,1,TRX009180000321,1,2500,,,
322,49,705,19,27,5,3,TRX000490000322,1,5000,,2956,
323,639,253,5,51,2,4,TRX006390000323,1,20000,101952.86,,
324,1050,162,42,6,2,1,TRX010500000324,1,75000,46539.11,814,16
325,317,812,50,87,1,1,TRX003170000325,1,200000,49686.51,4,376
326,342,968,33,96,3,1,TRX003420000326,1,135000,19048.25,245,
327,789,304,23,43,3,1,TRX007890000327,1,90000,,133,
328,765,37,36,52,5,2,TRX007650000328,3,450000,5206.21,351,300
329,818,253,21,56,1,1,TRX008180000329,1,25000,,2735,
330,744,78,38,26,4,3,TRX007440000330,1,50000,3903.89,465,136
331,405,961,18,54,1,1,TRX004050000331,1,3000,,1320,
332,536,925,50,58,1,5,TRX005360000332,1,200000,634.21,707,298
333,619,568,43,98,1,1,TRX006190000333,3,360000,25224.1,,7
334,1041,43,35,16,2,1,TRX010410000334,1,350000,43057.14,34,379
335,885,830,38,76,1,5,TRX008850000335,1,50000,12469.99,420,291
336,865,795,17,19,5,1,TRX008650000336,1,60000,74608.05,,
337,540,599,45,93,3,4,TRX005000000289,1,1000,970.48,,
338,725,508,46,16,3,1,TRX007250000338,1,2500,94148.82,,
339,1027,584,44,97,3,1,TRX010270000339,1,175000,"18339.46,-",147,361
340,1002,395,17,13,1,1,TRX010020000340,1,60000,88788.49,,
341,28,705,21,65,2,4,TRX000280000341,1,25000,,158,
342,1087,362,37,70,5,1,TRX010870000342,1,551885.56,19413.04,182,468
343,698,237,17,16,5,1,TRX006980000343,1,60000,77192.26,,
344,275,916,33,3,1,2,TRX002750000344,1,135000,1867.18,303,
345,196,902,42,37,2,4,TRX001960000345,1,75000,9954.12,717,270
346,527,482,31,83,1,1,TRX005270000346,2,130000,34060.74,1,260
347,709,660,15,25,2,1,TRX007090000347,1,25000,23536.33,,
348,935,259,24,58,3,1,TRX009350000348,1,70000,,2144,
349,466,729,25,25,5,1,TRX004660000349,1,1000,,,794
350,585,474,22,89,6,3,TRX005850000350,1,50000,,2443,
351,364,539,22,31,1,5,TRX003640000351,1,50000,,1309,
352,912,661,29,68,1,3,TRX009120000352,5,125000,,,816
353,596,799,41,42,6,1,TRX005960000353,2,30000,36619.2,448,487
354,1035,938,38,49,3,1,TRX010350000354,2,100000,32054.24,475,362
355,200,761,17,23,5,1,TRX002000000355,1,60000,40769.21,,
356,88,579,45,51,4,1,TRX000880000356??,1,1000,,,
357,376,280,11,85,1,2,TRX003760000357,3,450000,30365.0,,
358,1058,204,3,45,1,2,TRX010580000358,1,7000,76208.9,,
359,885,475,24,87,4,5,TRX008850000359,1,70000,,1036,
360,99,212,43,9,1,1,TRX000990000360,2,240000,30887.57,481,38
361,986,863,17,51,3,1,TRX009860000361,1,60000,68624.75,,
362,472,378,25,55,5,5,TRX004720000362,2,2000,,,762
363,296,905,24,42,5,2,TRX002960000363,2,140000,,2015,
364,1071,706,15,84,6,1,TRX010710000364,2,50000,27820.99,,
365,420,673,26,86,2,1,TRX004200000365,2,3000,,,891
366,653,66,41,78,3,1,TRX006530000366,3,45000,51141.06,403,74
367,114,893,20,65,1,1,TRX001140000367,1,15000,,810,
368,328,495,41,21,6,1,TRX003280000368,1,15000,22848.52,62,152
369,197,334,19,91,5,1,TRX001970000369,5,25000,,48,
370,1044,586,13,61,2,1,TRX010440000370,1,500000,44788.33,,
371,139,539,18,23,3,1,TRX001390000371,2,6000,,1704,
372,755,371,9,89,5,1,TRX007550000372,1,50000,89116.49,,
373,457,817,16,46,1,3,TRX004570000373,3,90000,51237.25,,
374,841,539,43,40,4,1,TRX008410000374,1,120000,16780.76,154,125
375,984,324,26,95,2,1,TRX009840000375,"2,-",3000,,,356
376,862,499,39,63,2,1,TRX008620000376,1,20000,11265.23,790,488
377,907,284,48,74,3,1,TRX009070000377,1,,45835.42,812,354
378,1022,251,19,41,1,1,TRX010220000378??,4,20000,,,
379,875,168,39,10,2,1,TRX008750000379,4,80000,12486.68,,272
380,797,447,24,27,6,2,TRX007970000380,1,70000,,2156,
381,239,251,8,81,6,3,TRX002390000381,1,15000,98130.47,,
382,514,489,31,62,2,1,TRX005140000382,1,65000,7689.58,527,189
383,1010,607,43,69,2,1,TRX010100000383,2,240000,2564.38,940,
384,138,586,15,36,2,1,TRX001380000384,1,25000,67524.55,,
385,833,345,16,26,3,1,TRX008330000385,3,90000,96784.87,,
386,381,748,46,16,6,1,TRX003810000386,3,7500,57583.57,,
387,390,477,28,32,1,4,TRX003900000387,4,40000,,,604
388,1022,516,21,43,1,1,TRX010220000388,1,25000,,1500,
389,56,703,6,3,4,4,TRX000560000389,1,30000,97262.02,,
390,161,756,23,55,4,1,TRX001610000390,1,90000,,842,
391,186,734,38,71,4,5,TRX001860000391-ERR,1,50000,,337,391
392,760,35,50,59,1,1,TRX007600000392,1,200000,2815.36,459,399
393,684,230,29,73,5,1,TRX006840000393,1,25000,,,752
394,394,580,3,68,3,3,TRX003940000394,1,7000,27084.82,,
395,332,204,35,51,3,1,TRX003320000395,1,350000,20741.1,956,182
396,906,493,43,17,3,1,TRX009060000396,1,120000,35407.94,545,377
397,737,804,31,81,1,1,TRX007370000397,1,65000,,293??,30
398,235,89,22,82,3,5,TRX002350000398,1,50000,,956,
399,639,344,36,39,1,5,TRX006390000399,1,150000,,895,318
400,1037,969,3,87,2,5,TRX010370000400,1,7000,41618.71,,
401,1074,748,15,31,3,1,TRX010740000401,2,50000,89274.58,,
402,508,688,39,5,1,1,TRX005080000402,1,20000,46495.22,18,498
403,772,113,48,57,1,4,TRX007720000403,1,250000,11194.84,14,256
404,603,389,39,14,1,3,TRX006030000404,1,20000,19825.25,949,78
405,332,806,49,75,3,2,TRX003320000405,2,240000,48250.88,,30
